song_id,arousal,valence
2001,6.6,3.2
2002,5.2,6.4
2003,4.6,5.4
2004,4.8,5.0
2005,5.2,3.8
2006,3.2,5.0
2007,4.4,3.4
2008,3.6,5.6
2009,4.2,5.2
2010,4.8,6.0
2011,5.0,4.2
2012,5.17,3.17
2013,5.6,5.4
2014,6.6,3.0
2015,5.4,6.6
2016,5.6,7.2
2017,6.5,6.67
2018,6.33,6.5
2019,6.8,6.8
2020,5.8,6.8
2021,4.4,4.2
2022,4.4,3.8
2023,3.0,5.6
2024,4.4,6.4
2025,4.8,6.0
2026,4.0,5.6
2027,5.4,5.8
2028,6.2,3.4
2029,4.0,4.17
2030,6.2,4.2
2031,3.4,4.6
2032,4.4,5.2
2033,6.83,3.17
2034,4.6,6.2
2035,4.6,3.4
2036,4.67,3.83
2037,4.4,6.4
2038,3.8,4.0
2039,4.6,5.4
2040,7.0,3.6
2041,3.0,4.4
2042,4.6,4.8
2043,4.4,5.6
2044,5.2,6.4
2045,3.2,4.8
2046,5.17,5.5
2047,5.0,6.2
2048,3.6,6.2
2049,3.8,4.4
2050,3.6,4.4
2051,4.6,3.2
2052,5.2,3.2
2053,3.8,3.8
2054,3.6,5.4
2055,5.2,5.0
2056,4.6,5.0
2057,6.83,3.17
2058,5.8,3.8
