song_id, valence_mean, valence_std, arousal_mean, arousal_std
2,3.1,0.94,3,0.63
3,3.5,1.75,3.3,1.62
4,5.7,1.42,5.5,1.63
5,4.4,2.01,5.3,1.85
7,5.8,1.47,6.4,1.69
8,3.2,1.4,4.8,1.54
10,4,1.67,4.7,1.85
12,5.5,1.91,5.8,1.89
13,3.2,1.4,4,1.67
17,4.4,1.8,6,2.05
18,4.8,1.72,3.9,1.37
19,5.9,1.64,4.3,1.9
20,5.4,2.5,6.5,2.11
21,6.6,0.92,6.3,1.42
22,4,1.34,4.8,1.47
24,5.3,1.62,3.9,1.76
25,7.9,0.7,4.7,2.53
31,4.7,1.55,3.8,1.54
32,4.2,1.78,3.3,1.49
35,4.8,2.14,6.5,2.11
37,6.6,2.11,5.3,2
39,7.3,1.85,5.4,2.37
40,4.6,1.28,4.8,1.54
41,4.3,1.62,5.1,1.3
42,6.1,1.58,5.1,1.92
43,6.7,2.33,3.5,1.5
44,3.9,1.04,4.9,1.58
45,5.1,2.43,2.1,1.37
46,5.3,1.95,4,1.73
47,4.4,1.74,4.4,1.56
48,4.5,1.86,4.8,1.78
49,3.9,1.3,5.3,1.19
50,3.6,1.02,4.8,1.08
51,3.6,1.11,3.2,0.98
52,4.6,1.11,5.1,1.81
53,4.3,2.37,5.1,1.7
54,3.1,1.58,3.3,1.62
55,5.8,1.33,5.4,1.11
56,6.4,1.43,5.8,1.4
58,3.3,1.55,3.4,1.56
59,5.3,1.73,4.1,1.92
60,4.3,1.49,6.4,0.49
62,6.2,0.87,3.9,1.22
64,3.6,1.28,4.9,1.58
65,6.4,1.43,5.8,1.83
67,7.2,0.75,6.8,1.4
68,3.8,1.33,4.9,1.64
69,3.2,0.87,3.9,0.83
70,4.4,1.69,3.6,1.43
71,5.9,1.51,3.7,0.78
72,6.7,1.73,5.6,2.01
73,5.8,1.72,5.6,1.74
74,3,1.67,4.3,1.42
76,4.3,1.42,3.2,1.83
77,4.2,2.04,2.9,1.14
78,3.4,1.56,3.9,1.92
79,5.5,2.11,5.5,1.36
80,6,1.34,5.1,1.37
81,6.1,1.92,3.9,1.7
82,2.9,1.45,3.5,1.63
83,6.1,1.04,5.8,1.72
84,5.9,2.02,5.6,1.74
85,7.1,1.14,6.2,1.6
86,5.4,1.62,5.6,1.2
87,5.3,2.45,2.6,0.92
88,6.7,1.73,5.5,1.28
89,4.5,2.29,4.8,2.04
90,4.3,1.73,4.2,1.72
91,4.5,1.43,5.5,1.2
92,5.8,2.18,4.7,1.79
93,7.2,0.75,6,1.73
95,3.3,1.85,4.6,2.2
96,6.8,1.33,6.9,1.3
98,4.3,1.73,2.7,1.42
99,4.3,1.85,4.1,1.97
101,3.4,1.62,2.8,0.87
102,6.5,0.92,5.4,1.56
103,5.6,1.91,3.3,1.79
104,6.1,1.81,3.3,1.79
105,6.5,1.43,5,1.41
106,4.6,1.5,3.3,1.19
107,6,2,4.8,2.14
108,4.5,1.63,4.2,1.94
109,4.4,2.24,4.5,1.5
110,4.4,1.8,2.8,0.87
111,5.3,1.27,5.3,1.42
