,title,artist,lyrics,audio,text_arousal,text_valence,audio_arousal,audio_valence,arousal,valence
2rPE9A1vEgShuZxxzR2tZH,"thank u, next",Ariana Grande,temp/temp_2rPE9A1vEgShuZxxzR2tZH.txt,temp/temp_features_2rPE9A1vEgShuZxxzR2tZH.csv,0.09074505494505494,0.12350769230769229,0.5299162219212371,0.6048126453017244,,
5p7ujcrUXASCNwRaWNHR1C,Without Me,Halsey,temp/temp_5p7ujcrUXASCNwRaWNHR1C.txt,temp/temp_features_5p7ujcrUXASCNwRaWNHR1C.csv,0.08631566820276498,0.12103225806451613,0.5271214186296854,0.5591995976660415,,
1A6OTy97kk0mMdm78rHsm8,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,,temp/temp_features_1A6OTy97kk0mMdm78rHsm8.csv,,,0.5124031345739671,0.5661718568595235,,
5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,Zara Larsson,temp/temp_5tAa8Uaqr4VvA3693mbIhU.txt,temp/temp_features_5tAa8Uaqr4VvA3693mbIhU.csv,0.13777759197324413,0.1306789297658863,0.5598833970605289,0.5966670805817827,,
2LskIZrCeLxRvCiGP8gxlh,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,,temp/temp_features_2LskIZrCeLxRvCiGP8gxlh.csv,,,0.6196000899023175,0.6286138565777298,,
6rrTr2HEAzlpC4KWZxF3S1,Woman Like Me (feat. Nicki Minaj),Little Mix,temp/temp_6rrTr2HEAzlpC4KWZxF3S1.txt,temp/temp_features_6rrTr2HEAzlpC4KWZxF3S1.csv,0.1258829479768786,0.18750144508670522,0.507143155706253,0.5244779024498638,,
2RSHsoi04658QL5xgQVov3,Bad Liar,Imagine Dragons,temp/temp_2RSHsoi04658QL5xgQVov3.txt,temp/temp_features_2RSHsoi04658QL5xgQVov3.csv,0.13572727272727272,0.13623426573426572,0.5454841969957112,0.5685002360155629,,
14sOS5L36385FJ3OL8hew4,Happy Now (feat. Sandro Cavazza),Kygo,,temp/temp_features_14sOS5L36385FJ3OL8hew4.csv,,,0.6308865567340018,0.6375276469063944,,
5JEx7HbmvHQQswJCsoo9rA,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,,temp/temp_features_5JEx7HbmvHQQswJCsoo9rA.csv,,,0.5482199845725241,0.6082058078499754,,
14JzyD6FlBD5z0wV5P07YI,when the party's over,Billie Eilish,temp/temp_14JzyD6FlBD5z0wV5P07YI.txt,temp/temp_features_14JzyD6FlBD5z0wV5P07YI.csv,0.1089040404040404,0.15639898989898993,0.42094961839715284,0.4600774350185227,,
