frameIndex;frameTime;pcm_LOGenergy
0;0.000000;-1.383729e+01
1;0.010000;-1.344107e+01
2;0.020000;-1.362546e+01
3;0.030000;-1.371792e+01
4;0.040000;-1.256511e+01
5;0.050000;-1.210091e+01
6;0.060000;-1.216670e+01
7;0.070000;-1.241860e+01
8;0.080000;-1.232635e+01
9;0.090000;-1.222799e+01
10;0.100000;-1.289224e+01
11;0.110000;-1.241491e+01
12;0.120000;-1.244319e+01
13;0.130000;-1.286947e+01
14;0.140000;-1.316939e+01
15;0.150000;-1.261712e+01
16;0.160000;-1.229953e+01
17;0.170000;-1.183391e+01
18;0.180000;-1.149516e+01
19;0.190000;-1.149378e+01
20;0.200000;-1.175908e+01
21;0.210000;-1.212608e+01
22;0.220000;-1.235089e+01
23;0.230000;-1.230946e+01
24;0.240000;-1.232118e+01
25;0.250000;-1.246999e+01
26;0.260000;-1.268657e+01
27;0.270000;-1.281627e+01
28;0.280000;-1.322849e+01
29;0.290000;-1.286264e+01
30;0.300000;-1.194988e+01
31;0.310000;-1.150080e+01
32;0.320000;-1.146078e+01
33;0.330000;-1.216701e+01
34;0.340000;-1.226929e+01
35;0.350000;-1.228526e+01
36;0.360000;-1.215306e+01
37;0.370000;-1.214713e+01
38;0.380000;-1.254151e+01
39;0.390000;-1.340814e+01
40;0.400000;-1.356043e+01
41;0.410000;-1.283917e+01
42;0.420000;-1.256761e+01
43;0.430000;-1.262519e+01
44;0.440000;-1.270627e+01
45;0.450000;-1.299606e+01
46;0.460000;-1.253055e+01
47;0.470000;-1.245418e+01
48;0.480000;-1.238238e+01
49;0.490000;-1.230676e+01
50;0.500000;-5.396017e+00
51;0.510000;-5.236910e+00
52;0.520000;-4.958940e+00
53;0.530000;-4.997384e+00
54;0.540000;-4.138320e+00
55;0.550000;-3.643159e+00
56;0.560000;-3.339661e+00
57;0.570000;-3.238401e+00
58;0.580000;-3.149915e+00
59;0.590000;-3.511308e+00
60;0.600000;-4.145247e+00
61;0.610000;-4.887389e+00
62;0.620000;-6.262983e+00
63;0.630000;-7.656088e+00
64;0.640000;-9.628673e+00
65;0.650000;-1.034330e+01
66;0.660000;-1.266793e+01
67;0.670000;-1.264151e+01
68;0.680000;-1.241770e+01
69;0.690000;-1.180850e+01
70;0.700000;-7.853314e+00
